iter	Passed	Remaining
0	1	1719
1	5	2941
2	7	2418
3	8	2044
4	9	1946
5	11	1901
6	13	1876
7	14	1834
8	16	1770
9	17	1726
10	18	1673
11	19	1636
12	21	1597
13	22	1554
14	23	1560
15	25	1552
16	26	1544
17	28	1542
18	29	1527
19	30	1504
20	32	1494
21	33	1471
22	34	1456
23	35	1444
24	36	1434
25	38	1441
26	39	1441
27	41	1433
28	42	1420
29	43	1420
30	45	1410
31	46	1400
32	47	1392
33	48	1382
34	49	1373
35	50	1362
36	52	1358
37	53	1352
38	54	1346
39	55	1340
40	56	1332
41	58	1325
42	59	1322
43	60	1317
44	61	1310
45	62	1303
46	64	1297
47	65	1291
48	66	1285
49	67	1286
50	68	1281
51	69	1274
52	70	1267
53	72	1261
54	73	1254
55	74	1251
56	75	1249
57	76	1245
58	77	1241
59	78	1236
60	80	1233
61	81	1230
62	82	1225
63	83	1219
64	84	1213
65	85	1207
66	86	1201
67	87	1196
68	88	1191
69	89	1186
70	90	1181
71	91	1175
72	92	1170
73	93	1164
74	94	1159
75	94	1154
76	95	1149
77	97	1149
78	98	1146
79	99	1142
80	100	1138
81	101	1134
82	102	1129
83	103	1124
84	104	1119
85	105	1116
86	105	1111
87	106	1107
88	107	1103
89	108	1099
90	109	1095
91	110	1091
92	111	1088
93	112	1084
94	113	1081
95	114	1077
96	115	1073
97	116	1070
98	117	1066
99	118	1063
100	119	1059
101	120	1056
102	121	1054
103	122	1051
104	123	1049
105	124	1046
106	124	1042
107	125	1039
108	127	1039
109	129	1047
110	138	1109
111	143	1139
112	146	1151
113	150	1166
114	153	1179
115	158	1210
116	161	1218
117	164	1228
118	167	1237
119	170	1252
120	173	1259
121	175	1265
122	178	1271
123	180	1278
124	183	1287
125	188	1307
126	189	1304
127	190	1300
128	191	1295
129	192	1290
130	193	1285
131	194	1281
132	195	1276
133	196	1272
134	197	1267
135	198	1264
136	200	1261
137	201	1259
138	202	1256
139	203	1251
140	204	1248
141	205	1243
142	206	1239
143	207	1235
144	209	1232
145	210	1228
146	210	1224
147	211	1219
148	212	1215
149	213	1211
150	214	1207
151	215	1204
152	217	1205
153	219	1204
154	220	1202
155	221	1198
156	222	1195
157	223	1191
158	224	1187
159	225	1184
160	226	1180
161	227	1176
162	228	1173
163	229	1169
164	230	1166
165	231	1163
166	232	1161
167	234	1159
168	235	1157
169	236	1153
170	237	1150
171	238	1147
172	239	1144
173	240	1140
174	241	1137
175	242	1134
176	243	1131
177	244	1128
178	245	1125
179	246	1122
180	247	1120
181	248	1117
182	249	1114
183	250	1110
184	251	1108
185	252	1105
186	253	1102
187	254	1099
188	255	1096
189	256	1093
190	257	1091
191	258	1088
192	259	1085
193	260	1083
194	261	1081
195	263	1079
196	264	1077
197	265	1076
198	266	1074
199	267	1071
200	268	1069
201	270	1066
202	270	1063
203	271	1061
204	273	1059
205	274	1056
206	275	1054
207	277	1054
208	278	1053
209	279	1052
210	281	1051
211	282	1048
212	283	1045
213	283	1042
214	284	1040
215	285	1037
216	286	1034
217	287	1031
218	288	1029
219	289	1026
220	290	1023
221	291	1022
222	292	1020
223	293	1017
224	295	1016
225	296	1014
226	297	1012
227	298	1009
228	299	1007
229	300	1004
230	300	1001
231	301	999
232	302	997
233	303	994
234	304	992
235	306	990
236	307	989
237	308	987
238	309	985
239	310	983
240	311	981
241	312	979
242	313	976
243	314	974
244	315	972
245	316	969
246	317	967
247	318	965
248	319	962
249	320	960
250	321	959
251	322	957
252	323	955
253	324	953
254	325	951
255	326	949
256	327	947
257	328	945
258	329	942
259	330	940
260	331	938
261	332	935
262	333	933
263	334	931
264	334	929
265	336	928
266	337	926
267	338	925
268	339	922
269	340	920
270	341	919
271	342	917
272	343	915
273	344	913
274	345	911
275	346	909
276	347	907
277	348	905
278	349	902
279	350	901
280	351	899
281	352	897
282	353	896
283	354	894
284	355	892
285	356	890
286	357	888
287	358	887
288	359	885
289	360	883
290	361	881
291	362	879
292	363	877
293	364	875
294	365	874
295	366	872
296	367	870
297	368	868
298	369	866
299	370	864
300	371	862
301	372	860
302	373	859
303	374	857
304	375	855
305	376	853
306	377	852
307	378	850
308	379	848
309	381	848
310	382	847
311	383	846
312	385	845
313	386	843
314	387	842
315	388	840
316	389	839
317	391	839
318	392	837
319	393	836
320	394	834
321	395	833
322	397	832
323	398	830
324	399	829
325	400	827
326	401	825
327	402	824
328	403	823
329	404	822
330	406	820
331	407	819
332	408	817
333	409	815
334	410	814
335	411	812
336	412	811
337	413	809
338	414	808
339	415	806
340	416	804
341	417	803
342	418	801
343	419	800
344	420	798
345	422	797
346	423	796
347	424	794
348	425	793
349	426	791
350	427	790
351	428	788
352	429	786
353	430	785
354	431	783
355	432	782
356	433	780
357	434	779
358	435	777
359	436	775
360	437	774
361	438	772
362	439	771
363	440	769
364	441	768
365	442	766
366	443	765
367	444	763
368	445	762
369	446	760
370	447	758
371	448	757
372	449	755
373	450	754
374	451	752
375	452	751
376	469	775
377	470	774
378	472	773
379	473	771
380	474	770
381	475	768
382	476	766
