id,city_or_regency,year,total_area (km2),population,densities,traffic_density,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score
11012022,Simeulue,2022,"1,838.09","94,876",51.62,Low,0.12,67.27,"2,688",1,"1,628.09",72.37
11032022,Aceh Selatan,2022,"4,173.82","237,376",56.87,Low,,67.87,"6,447",1,"3,521.77",72.54
11042022,Aceh Tenggara,2022,"4,242.04","228,308",53.82,Low,,70.32,"5,829",1,"3,333.30",72.38
11062022,Aceh Tengah,2022,"4,527.53","222,673",49.18,Low,1.11,73.95,"8,873",1,,71.38
11072022,Aceh Barat,2022,"2,927.95","202,858",69.28,Low,0.01,72.34,"12,730",1,"3,702.16",72.36
11082022,Aceh Besar,2022,"2,903.50","414,490",142.76,Low,,74,"15,457",,,72.91
11102022,Bireuen,2022,"1,798.00","443,874",246.87,Low,0.00,73.16,"15,470",,,73.03
11112022,Aceh Utara,2022,"3,296.86","614,640",186.43,Low,0.05,70.22,"28,310",,,70.79
11122022,Aceh Barat Daya,2022,"1,882.05","155,046",82.38,Low,0.71,67.41,"4,546",1,"2,834.81",71.79
11132022,Gayo Lues,2022,"5,549.91","103,131",18.58,Low,79.65,68.25,"3,077",1,"1,498.60",71.92
11142022,Aceh Tamiang,2022,"1,957.02","301,492",154.06,Low,0.04,70.43,"10,433",1,"4,406.28",72.63
11152022,Nagan Raya,2022,"3,544.90","173,393",48.91,Low,,70.1,"10,635",1,"2,531.54",76.15
11162022,Aceh Jaya,2022,"3,727.00","96,028",25.77,Low,0.82,70.36,"3,122",2,"1,723.13",72.21
11172022,Bener Meriah,2022,"1,941.60","168,690",86.88,Low,0.00,73.9,"5,476",1,"2,408.47",74.78
11712022,City of Banda Aceh,2022,59.02,"257,635",4365.22,Medium,8.43,86.28,"21,561",2,"9,205.59",73.76
11722022,City of Sabang,2022,122.13,"43,208",353.79,Low,,76.85,"1,643",1,630.84,70.92
11732022,City of Langsa,2022,239.83,"192,630",803.19,Low,75.13,77.82,"6,263",1,"3,447.02",72.96
11742022,City of Lhokseumawe,2022,181.00,"191,396",1057.44,Low,,78.04,"10,278",,,70.69
12012022,Nias,2022,853.44,"149,249",174.88,Low,,63.69,"4,536",1,"2,127.24",71.09
12022022,Mandailing Natal,2022,"6,620.70","484,874",73.24,Low,,68.05,"16,404",,,71.33
12032022,Tapanuli Selatan,2022,"4,355.35","307,312",70.56,Low,"3,300.75",70.92,"17,052",1,,71.41
12042022,Tapanuli Tengah,2022,"2,194.98","374,734",170.72,Low,0.00,70.31,"11,635",1,"6,739.73",71.12
12062022,Toba Samosir,2022,"2,022.00","212,133",104.91,Low,,75.96,"8,944",2,"3,505.90",71.35
12072022,Labuhan Batu,2022,"2,561.38","508,024",198.34,Low,,72.92,"41,809",,,71.09
12092022,Simalungun,2022,"4,372.50","1,021,615",233.65,Low,,73.77,"47,286",1,"18,644.47",69.83
12102022,Dairi,2022,"1,927.80","315,460",163.64,Low,,72.56,"10,717",,,70.68
12132022,Langkat,2022,"6,273.29","1,039,926",165.77,Low,,71.86,"51,413",4,"19,032.38",71.1
12142022,Nias Selatan,2022,"2,487.99","373,674",150.19,Low,,63.17,"8,015",,,71.01
12152022,Humbang Hasundutan,2022,"2,297.20","202,299",88.06,Low,,70.32,"6,919",1,"2,165.37",70.04
12172022,Samosir,2022,"1,444.25","139,337",96.48,Low,,71.67,"5,166",,,70.82
12182022,Serdang Bedagai,2022,"1,900.22","667,998",351.54,Low,,71.21,"33,518",,,70.89
12192022,Batu Bara,2022,904.96,"416,367",460.09,Low,,69.51,"40,867",,,71.03
12202022,Padang Lawas Utara,2022,"3,945.56","267,275",67.74,Low,,70.93,"14,375",,,71.24
12232022,Labuhan Batu Utara,2022,"3,545.80","390,954",110.26,Low,,72.77,"30,282",,,71.18
12252022,Nias Barat,2022,520.34,"91,346",175.55,Low,,62.93,"2,173",,,70.88
12712022,City of Sibolga,2022,10.77,"90,366",8390.53,Medium,0.01,74.74,"6,340",,,70.96
12722022,City of Tanjung Balai,2022,60.52,"179,748",2970.06,Medium,0.04,69.86,"10,466",,,71.13
12742022,City of Tebing Tinggi,2022,38.96,"177,785",4563.27,Medium,4.76,76.17,"6,931",1,"4,548.82",70.9
12752022,City of Medan,2022,265.10,"2,494,512",9409.70,Medium,26.51,81.76,"280,159",1,"62,874.92",70.91
12772022,City of Padangsidimpuan,2022,159.30,"231,062",1450.48,Low,,76.05,"7,385",1,"5,906.60",71.19
12782022,City of Gunungsitoli,2022,469.40,"137,583",293.10,Low,,70.23,"6,477",,,70.94
13012022,Kepulauan Mentawai,2022,"6,033.76","89,401",14.82,Low,,62.19,"5,446",,,71.07
13022022,Pesisir Selatan,2022,"1,938.79","516,518",266.41,Low,600.19,70.84,"16,606",1,"5,580.32",71.26
13032022,Solok,2022,"3,738.00","397,829",106.43,Low,0.39,70.02,"15,781",1,"5,755.86",71.24
13042022,Sijunjung,2022,"3,130.80","240,317",76.76,Low,0.04,68.69,"10,669",1,"3,551.39",69.86
13052022,Tanah Datar,2022,"1,336.00","376,276",281.64,Low,0.12,73.29,"15,059",1,"4,705.73",72.1
13062022,Padang Pariaman,2022,"1,343.09","436,129",324.72,Low,0.00,71.63,"22,193",1,"7,959.35",71.05
13082022,Lima Puluh Kota,2022,"3,354.00","388,375",115.79,Low,0.23,70.28,"17,901",1,"5,595.48",71.14
13092022,Pasaman,2022,"3,947.63","307,425",77.88,Low,7.98,67.41,"10,391",1,"4,425.30",70.82
13112022,Dharmasraya,2022,"2,961.00","234,713",79.27,Low,0.02,72.3,"12,233",1,"3,783.11",70.99
13122022,Pasaman Barat,2022,"3,887.77","442,479",113.81,Low,0.11,69.57,"17,876",1,"6,387.68",70.84
13712022,City of Padang,2022,694.96,"919,145",1322.59,Low,142.27,83.29,"72,979",1,"23,497.31",71.36
13732022,City of Sawah Lunto,2022,273.50,"66,413",242.83,Low,0.34,73.73,"4,390",1,688.26,70.85
13742022,City of Padang Panjang,2022,23.00,"57,850",2515.22,Medium,1.34,78.78,"4,087",1,"1,786.51",71.23
13752022,City of Bukittinggi,2022,25.24,"122,311",4845.92,Medium,1.29,81.42,"10,194",1,"4,570.75",71.25
13772022,City of Pariaman,2022,73.36,"96,719",1318.42,Low,0.54,77.65,"5,882",1,"1,396.34",71.28
14012022,Kuantan Singingi,2022,"7,656.03","345,850",45.17,Low,624.39,71.09,"44,910",1,"5,080.06",68.69
14022022,Indragiri Hulu,2022,"8,198.71","464,076",56.60,Low,,70.46,"54,185",1,"6,617.32",71.9
14032022,Indragiri Hilir,2022,"12,614.78","660,747",52.38,Low,0.02,67.37,"83,164",,,72.43
14052022,Siak,2022,"8,556.09","477,550",55.81,Low,1.41,74.5,"106,995",4,"6,813.57",73.78
14062022,Kampar,2022,"11,289.28","878,210",77.79,Low,,73.84,"103,550",,,70.76
14072022,Rokan Hulu,2022,"7,588.13","582,679",76.79,Low,0.40,70.31,"49,614",2,"13,261.38",71.7
14082022,Bengkalis,2022,514.00,"582,973",1134.19,Low,0.56,74.38,"175,972",4,,73.92
14102022,Kepulauan Meranti,2022,"3,708.00","213,532",57.59,Low,0.01,66.52,"24,896",,,72.8
14712022,City of Pekanbaru,2022,632.30,"1,007,540",1593.45,Low,68.06,82.06,"144,559",1,"35,650.33",71.42
14732022,City of Dumai,2022,"1,727.00","331,832",192.14,Low,0.26,75.26,"45,053",1,"6,055.93",72.44
15012022,Kerinci,2022,"3,807.00","253,900",66.69,Low,,71.99,"12,226",,,76.11
15042022,Batang Hari,2022,"4,179.70","313,200",74.93,Low,0.12,70.51,"24,304",,,75.15
15052022,Muaro Jambi,2022,"5,246.00","412,800",78.69,Low,,70.18,"32,958",,,75.9
15062022,Tanjung Jabung Timur,2022,"5,426.00","234,200",43.16,Low,,65.77,"25,606",,,77.35
15082022,Tebo,2022,"6,461.00","344,800",53.37,Low,,69.78,"19,698",,,76.25
15712022,City of Jambi,2022,175.53,"619,600",3529.88,Medium,24.23,79.58,"36,184",1,"15,968.80",78.98
15722022,City of Sungai Penuh,2022,391.50,"99,200",253.38,Low,,76.17,"8,679",,"1,829.54",74.61
16022022,Ogan Komering Ilir,2022,"19,023.47","776,690",40.83,Low,,68.02,"34,239",,,70.92
16032022,Muara Enim,2022,"6,763.91","624,019",92.26,Low,21.06,69.43,"113,577",1,"8,490.10",71.47
16042022,Lahat,2022,"4,344.87","441,174",101.54,Low,,68.4,"27,834",1,"9,840.69",72.43
16062022,Musi Banyuasin,2022,"14,265.96","633,124",44.38,Low,"6,881.99",68.6,"82,432",8,"9,414.55",71.11
16072022,Banyu Asin,2022,"11,875.00","852,576",71.80,Low,294.96,67.93,"34,443",2,"21,123.59",75.27
16092022,Ogan Komering Ulu Timur,2022,"4,369.25","656,857",150.34,Low,0.11,70.23,"17,833",2,"10,298.17",71.69
16102022,Ogan Ilir,2022,"2,382.00","422,907",177.54,Low,,67.96,"13,251",,,70.74
16112022,Empat Lawang,2022,"2,256.00","357,673",158.54,Low,,66,"5,838",,,75.74
16122022,Penukal Abab Lematang Ilir,2022,"1,840.00","200,368",108.90,Low,4.44,65.75,"8,195",1,"3,731.63",73.4
16132022,Musi Rawas Utara,2022,"6,008.55","192,369",32.02,Low,,65.74,"8,549",,,72.52
16712022,City of Palembang,2022,352.50,"1,707,996",4845.38,Medium,43.87,79.47,"179,107",1,"43,981.57",70.97
16722022,City of Prabumulih,2022,434.46,"199,047",458.15,Low,4.74,75.52,"9,208",1,"3,591.82",72.37
16732022,City of Pagar Alam,2022,633.66,"147,071",232.10,Low,,69.6,"3,256",,,74.2
16742022,City of Lubuklinggau,2022,401.50,"240,238",598.35,Low,,75.53,"7,688",,,71.99
17012022,Bengkulu Selatan,2022,"1,186.70","170,093",143.33,Low,,71.42,"6,713",,,66.6
17022022,Rejang Lebong,2022,"1,515.76","281,281",185.57,Low,,71.45,"10,993",,,70.1
17032022,Bengkulu Utara,2022,"4,424.60","302,833",68.44,Low,4.38,69.77,"12,319",1,"6,920.77",69.74
17042022,Kaur,2022,"2,556.00","129,661",50.73,Low,,67.77,"4,227",,,69.52
17062022,Mukomuko,2022,"4,147.00","196,571",47.40,Low,,69.12,"6,217",,,68.35
17072022,Lebong,2022,"1,665.28","107,248",64.40,Low,"1,214.51",68.12,"3,889",1,"2,940.98",71.05
17092022,Bengkulu Tengah,2022,"1,223.94","119,814",97.89,Low,,68.47,"6,545",,,70.73
17712022,City of Bengkulu,2022,151.70,"384,841",2536.86,Medium,0.61,80.99,"28,090",,,68.5
18012022,Lampung Barat,2022,"3,368.14","303,397",90.08,Low,0.25,68.39,"8,280",,,69.63
18022022,Tanggamus,2022,"4,654.96","652,898",140.26,Low,0.21,67.22,"18,096",1,"13,345.24",70.51
18032022,Lampung Selatan,2022,"2,219.46","1,081,115",487.11,Low,,69,"51,481",,,73.57
18042022,Lampung Timur,2022,"5,325.03","1,127,946",211.82,Low,,70.58,"49,710",,,72.25
18052022,Lampung Tengah,2022,"4,546.00","1,500,022",329.97,Low,0.01,70.8,"82,454",,,73.65
18062022,Lampung Utara,2022,"2,667.00","635,129",238.14,Low,,68.33,"27,046",,,72.04
18072022,Way Kanan,2022,"3,921.63","481,036",122.66,Low,"1,036.46",68.04,"16,153",1,"7,008.61",70.68
18082022,Tulangbawang,2022,"4,386.00","431,208",98.31,Low,,69.53,"25,983",,,68.28
18092022,Pesawaran,2022,"1,173.77","487,153",415.03,Low,15.49,66.7,"18,601",,,73.51
18102022,Pringsewu,2022,625.00,"408,415",653.46,Low,0.17,70.98,"12,842",1,"5,939.62",71.48
18112022,Mesuji,2022,"2,184.00","232,685",106.54,Low,0.00,64.94,"11,953",,,71.53
18122022,Tulang Bawang Barat,2022,"1,201.15","289,620",241.12,Low,0.10,67.13,"13,233",1,"4,178.77",70.48
18132022,Pesisir Barat,2022,"2,953.00","164,816",55.81,Low,,65.14,"5,345",,,71.37
18712022,City of Bandar Lampung,2022,197.22,"1,209,937",6134.96,Medium,6.01,78.01,"67,882",1,"28,705.76",72.95
19012022,Bangka,2022,"3,028.79","334,344",110.39,Low,9.95,72.95,"17,959",2,"4,881.42",72.79
19022022,Belitung,2022,"2,293.69","186,331",81.24,Low,41.92,73.38,"12,322",1,"2,686.46",73.67
19032022,Bangka Barat,2022,"2,884.15","209,413",72.61,Low,67.29,70.12,"16,761",,,74.58
19042022,Bangka Tengah,2022,"2,279.11","205,510",90.17,Low,462.75,71.4,"10,523",1,"3,006.11",73.49
19052022,Bangka Selatan,2022,"3,607.08","202,263",56.07,Low,100.74,67.95,"10,693",1,"2,996.69",74.32
19062022,Belitung Timur,2022,"2,506.91","130,463",52.04,Low,,72.29,"9,785",1,"1,858.52",75.91
19712022,City of Pangkal Pinang,2022,118.40,"226,297",1911.29,Low,,79.24,"17,278",,,74.08
21012022,Karimun,2022,"1,524.00","266,177",174.66,Low,11.17,72.65,"15,554",1,"6,800.82",74.29
